run_file,task,n_samples,best_acc,mean_acc,total_successes,success_rate,first_success_k
ev_1.2_0_120.csv,7ee1c6ea,120.0,1.0,0.008333333333333333,1.0,0.008333333333333333,101.0
ev_1.2_0_120.csv,ae58858e,120.0,1.0,0.008333333333333333,1.0,0.008333333333333333,111.0
ev_1.2_0_120.csv,03560426,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,0607ce86,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,09c534e7,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,0a1d4ef5,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,1c0d0a4b,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,1da012fc,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,310f3251,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,4b6b68e5,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,55059096,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,55783887,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,692cd3b6,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,762cd429,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,85fa5666,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,93c31fbe,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,963f59bc,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,a04b2602,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,a680ac02,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,aee291af,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,b9630600,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,c35c1b4c,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,d37a1ef5,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,e0fb7511,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,e1d2900e,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,e7639916,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,e95e3d8e,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,e9ac8c9e,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,e9c9d9a1,120.0,0.0,0.0,0.0,0.0,
ev_1.2_0_120.csv,ef26cbf6,120.0,0.0,0.0,0.0,0.0,
